,county,median
2855,sheridan,105308
2856,jim wells,105241
2857,henderson,105023
2858,treutlen,105014
2859,mckean,104963
2860,concordia parish,104928
2861,jefferson davis,104882
2862,clay,104793
2863,greene,104760
2864,copiah,104660
2865,braxton,104633
2866,franklin,104515
2867,leflore,104515
2868,floyd,104463
2869,clarke,104392
2870,pocahontas,104334
2871,warren,104189
2872,cibola,104132
2873,franklin parish,103977
2874,wayne,103836
2875,ouachita,103819
2876,blackford,103591
2877,bradley,103556
2878,pawnee,103532
2879,catahoula parish,103502
2880,leake,103412
2881,west carroll parish,103383
2882,clinton,103275
2883,coal,103221
2884,webster parish,103027
2885,allen,102917
2886,ashley,102897
2887,dallas,102897
2888,magoffin,102879
2889,knox,102877
2890,wilbarger,102813
2891,yalobusha,102799
2892,phillips,102793
2893,mason,102758
2894,choctaw,102677
2895,harmon,102581
2896,cherokee,102547
2897,floyd,102408
2898,perry,102350
2899,stark,102307
2900,perry,102281
2901,lewis,102218
2902,williamsburg,102161
2903,webster,102144
2904,ontonagon,102129
2905,norton,101932
2906,franklin,101891
2907,greer,101814
2908,gogebic,101730
2909,wilson,101686
2910,lincoln,101562
2911,duval,101463
2912,sharp,101448
2913,chattooga,101416
2914,logan,101294
2915,stafford,101193
2916,woodruff,101184
2917,edwards,101089
2918,benton,101084
2919,webster,101001
2920,cloud,100947
2921,morgan,100766
2922,cleveland,100764
2923,brown,100751
2924,poinsett,100708
2925,montgomery,100454
2926,greene,100374
2927,martinsville city,100290
2928,garden,100245
2929,elliott,100105
2930,tensas parish,100056
2931,calhoun,99998
2932,lawrence,99998
2933,kimball,99992
2934,caldwell parish,99937
2935,clay,99867
2936,marion,99778
2937,baylor,99709
2938,edgar,99659
2939,thayer,99612
2940,nuckolls,99486
2941,cass,99420
2942,campbell,99327
2943,wabash,99301
2944,graham,99223
2945,jackson,99208
2946,lee,99208
2947,thurston,99106
2948,white,99063
2949,lincoln,99057
2950,hughes,99000
2951,clinch,98926
2952,seminole,98744
2953,washington,98633
2954,labette,98608
2955,rice,98608
2956,perry,98561
2957,cameron,98511
2958,st. helena parish,98424
2959,shelby,98298
2960,monroe,98286
2961,lowndes,98177
2962,mingo,97909
2963,morton,97746
2964,lee,97596
2965,madison parish,97561
2966,warren,97542
2967,greene,97514
2968,san augustine,97416
2969,wayne,97408
2970,greeley,97334
2971,briscoe,97281
2972,presidio,97281
2973,lawrence,97155
2974,echols,96789
2975,gilmer,96730
2976,phillips,96705
2977,furnas,96575
2978,saline,96559
2979,yukon-koyukuk census area,96525
2980,wilcox,96441
2981,bullock,96176
2982,lincoln,96155
2983,richardson,96068
2984,apache,95902
2985,grant,95802
2986,boone,95712
2987,kemper,95693
2988,telfair,95605
2989,crowley,95557
2990,hitchcock,94929
2991,edwards,94852
2992,sioux,94821
2993,webster,94758
2994,scott,94713
2995,rooks,94668
2996,issaquena,94590
2997,brooks,94582
2998,hodgeman,94545
2999,mcpherson,94492
3000,covington,94467
3001,franklin,94414
3002,harding,94175
3003,red river parish,93758
3004,nevada,93674
3005,barber,93561
3006,wheeler,93530
3007,leslie,93502
3008,rolette,93458
3009,chicot,93411
3010,macon,93253
3011,mcintosh,93118
3012,mitchell,92828
3013,buchanan,92794
3014,twiggs,92658
3015,hardin,92625
3016,sumter,92467
3017,clark,92206
3018,owsley,91917
3019,benson,91868
3020,coahoma,91649
3021,lane,91468
3022,gallatin,91314
3023,worth,91200
3024,chickasaw,90669
3025,donley,90534
3026,fisher,90534
3027,sharkey,90424
3028,taliaferro,90348
3029,covington city,90209
3030,culberson,89995
3031,dewey,89795
3032,st. francis,89722
3033,bell,89540
3034,webster,89534
3035,lamb,89320
3036,martin,89276
3037,clay,89144
3038,woodson,89129
3039,wyoming,89062
3040,noxubee,88709
3041,east carroll parish,88292
3042,marlboro,88273
3043,harper,88267
3044,fulton,88219
3045,collingsworth,88106
3046,rush,87898
3047,grant,87780
3048,claiborne,87729
3049,wilcox,87719
3050,pawnee,87715
3051,humphreys,87606
3052,calhoun,87116
3053,claiborne parish,87103
3054,vermilion,86714
3055,quay,86617
3056,atkinson,86335
3057,ness,86174
3058,bienville parish,85915
3059,harlan,85842
3060,zavala,85407
3061,tallahatchie,85156
3062,wilkinson,84788
3063,throckmorton,84733
3064,smith,84574
3065,kiowa,84418
3066,hall,84328
3067,clay,84260
3068,willacy,83653
3069,greenwood,83220
3070,cimarron,82628
3071,quitman,82461
3072,decatur,81373
3073,letcher,80956
3074,jefferson,80709
3075,haskell,80550
3076,esmeralda,80538
3077,wolfe,80428
3078,stanton,80388
3079,dickens,80145
3080,lafayette,80104
3081,comanche,80019
3082,calhoun,79971
3083,corson,79711
3084,motley,79606
3085,osborne,79526
3086,jefferson,79397
3087,crosby,79033
3088,pulaski,78082
3089,dimmit,77852
3090,hardeman,77852
3091,edwards,76941
3092,republic,76818
3093,knott,76466
3094,stonewall,74613
3095,holmes,74496
3096,jewell,73987
3097,alexander,72479
3098,allendale,71847
3099,mckinley,71501
3100,mellette,71422
3101,hudspeth,71240
3102,foard,71105
3103,elk,70663
3104,cottle,70161
3105,breathitt,69598
3106,quitman,68982
3107,tillman,68302
3108,chautauqua,68201
3109,stewart,66965
3110,knox,63415
3111,cochran,60176
3112,mcdowell,51550
3113,todd,39648
3114,king,30493
